Year,Month,Name,URL
2006,june,2006 june,http://datos.imss.gob.mx/node/299/download
2006,july,2006 july,http://datos.imss.gob.mx/node/300/download
2006,august,2006 august,http://datos.imss.gob.mx/node/301/download
2006,september,2006 september,http://datos.imss.gob.mx/node/302/download
2006,october,2006 october,http://datos.imss.gob.mx/node/303/download
2006,november,2006 november,http://datos.imss.gob.mx/node/304/download
2006,december,2006 december,http://datos.imss.gob.mx/node/305/download
2007,january,2007 january,http://datos.imss.gob.mx/node/281/download
2007,february,2007 february,http://datos.imss.gob.mx/node/282/download
2007,march,2007 march,http://datos.imss.gob.mx/node/283/download
2007,april,2007 april,http://datos.imss.gob.mx/node/284/download
2007,may,2007 may,http://datos.imss.gob.mx/node/285/download
2007,june,2007 june,http://datos.imss.gob.mx/node/286/download
2007,july,2007 july,http://datos.imss.gob.mx/node/287/download
2007,august,2007 august,http://datos.imss.gob.mx/node/288/download
2007,september,2007 september,http://datos.imss.gob.mx/node/289/download
2007,october,2007 october,http://datos.imss.gob.mx/node/290/download
2007,november,2007 november,http://datos.imss.gob.mx/node/291/download
2007,december,2007 december,http://datos.imss.gob.mx/node/292/download
2008,january,2008 january,http://datos.imss.gob.mx/node/262/download
2008,february,2008 february,http://datos.imss.gob.mx/node/264/download
2008,march,2008 march,http://datos.imss.gob.mx/node/265/download
2008,april,2008 april,http://datos.imss.gob.mx/node/266/download
2008,may,2008 may,http://datos.imss.gob.mx/node/267/download
2008,june,2008 june,http://datos.imss.gob.mx/node/268/download
2008,july,2008 july,http://datos.imss.gob.mx/node/269/download
2008,august,2008 august,http://datos.imss.gob.mx/node/270/download
2008,september,2008 september,http://datos.imss.gob.mx/node/271/download
2008,october,2008 october,http://datos.imss.gob.mx/node/272/download
2008,november,2008 november,http://datos.imss.gob.mx/node/273/download
2008,december,2008 december,http://datos.imss.gob.mx/node/277/download
2009,january,2009 january,http://datos.imss.gob.mx/node/158/download
2009,february,2009 february,http://datos.imss.gob.mx/node/160/download
2009,march,2009 march,http://datos.imss.gob.mx/node/161/download
2009,april,2009 april,http://datos.imss.gob.mx/node/168/download
2009,may,2009 may,http://datos.imss.gob.mx/node/180/download
2009,june,2009 june,http://datos.imss.gob.mx/node/182/download
2009,july,2009 july,http://datos.imss.gob.mx/node/183/download
2009,august,2009 august,http://datos.imss.gob.mx/node/184/download
2009,september,2009 september,http://datos.imss.gob.mx/node/185/download
2009,october,2009 october,http://datos.imss.gob.mx/node/186/download
2009,november,2009 november,http://datos.imss.gob.mx/node/187/download
2009,december,2009 december,http://datos.imss.gob.mx/node/188/download
2010,january,2010 january,http://datos.imss.gob.mx/node/169/download
2010,february,2010 february,http://datos.imss.gob.mx/node/170/download
2010,march,2010 march,http://datos.imss.gob.mx/node/171/download
2010,april,2010 april,http://datos.imss.gob.mx/node/172/download
2010,may,2010 may,http://datos.imss.gob.mx/node/173/download
2010,june,2010 june,http://datos.imss.gob.mx/node/174/download
2010,july,2010 july,http://datos.imss.gob.mx/node/175/download
2010,august,2010 august,http://datos.imss.gob.mx/node/176/download
2010,september,2010 september,http://datos.imss.gob.mx/node/177/download
2010,october,2010 october,http://datos.imss.gob.mx/node/178/download
2010,november,2010 november,http://datos.imss.gob.mx/node/179/download
2010,december,2010 december,http://datos.imss.gob.mx/node/181/download
2011,january,2011 january,http://datos.imss.gob.mx/node/159/download
2011,february,2011 february,http://datos.imss.gob.mx/node/156/download
2011,march,2011 march,http://datos.imss.gob.mx/node/155/download
2011,april,2011 april,http://datos.imss.gob.mx/node/154/download
2011,may,2011 may,http://datos.imss.gob.mx/node/153/download
2011,june,2011 june,http://datos.imss.gob.mx/node/152/download
2011,july,2011 july,http://datos.imss.gob.mx/node/151/download
2011,august,2011 august,http://datos.imss.gob.mx/node/150/download
2011,september,2011 september,http://datos.imss.gob.mx/node/149/download
2011,october,2011 october,http://datos.imss.gob.mx/node/148/download
2011,november,2011 november,http://datos.imss.gob.mx/node/147/download
2011,december,2011 december,http://datos.imss.gob.mx/node/146/download
2012,january,2012 january,http://datos.imss.gob.mx/node/143/download
2012,february,2012 february,http://datos.imss.gob.mx/node/142/download
2012,march,2012 march,http://datos.imss.gob.mx/node/141/download
2012,april,2012 april,http://datos.imss.gob.mx/node/140/download
2012,may,2012 may,http://datos.imss.gob.mx/node/139/download
2012,june,2012 june,http://datos.imss.gob.mx/node/138/download
2012,july,2012 july,http://datos.imss.gob.mx/node/137/download
2012,august,2012 august,http://datos.imss.gob.mx/node/136/download
2012,september,2012 september,http://datos.imss.gob.mx/node/135/download
2012,october,2012 october,http://datos.imss.gob.mx/node/134/download
2012,november,2012 november,http://datos.imss.gob.mx/node/133/download
2012,december,2012 december,http://datos.imss.gob.mx/node/84/download
2013,january,2013 january,http://datos.imss.gob.mx/node/20/download
2013,february,2013 february,http://datos.imss.gob.mx/node/23/download
2013,march,2013 march,http://datos.imss.gob.mx/node/24/download
2013,april,2013 april,http://datos.imss.gob.mx/node/55/download
2013,may,2013 may,http://datos.imss.gob.mx/node/57/download
2013,june,2013 june,http://datos.imss.gob.mx/node/58/download
2013,july,2013 july,http://datos.imss.gob.mx/node/59/download
2013,august,2013 august,http://datos.imss.gob.mx/node/60/download
2013,september,2013 september,http://datos.imss.gob.mx/node/63/download
2013,october,2013 october,http://datos.imss.gob.mx/node/64/download
2013,november,2013 november,http://datos.imss.gob.mx/node/65/download
2013,december,2013 december,http://datos.imss.gob.mx/node/66/download
2014,january,2014 january,http://datos.imss.gob.mx/node/72/download
2014,february,2014 february,http://datos.imss.gob.mx/node/73/download
2014,march,2014 march,http://datos.imss.gob.mx/node/74/download
2014,april,2014 april,http://datos.imss.gob.mx/node/76/download
2014,may,2014 may,http://datos.imss.gob.mx/node/75/download
2014,june,2014 june,http://datos.imss.gob.mx/node/77/download
2014,july,2014 july,http://datos.imss.gob.mx/node/78/download
2014,august,2014 august,http://datos.imss.gob.mx/node/79/download
2014,september,2014 september,http://datos.imss.gob.mx/node/81/download
2014,october,2014 october,http://datos.imss.gob.mx/node/194/download
2014,november,2014 november,http://datos.imss.gob.mx/node/195/download
2014,december,2014 december,http://datos.imss.gob.mx/node/196/download
2015,january,2015 january,http://datos.imss.gob.mx/node/190/download
2015,february,2015 february,http://datos.imss.gob.mx/node/191/download
2015,march,2015 march,http://datos.imss.gob.mx/node/192/download
2015,april,2015 april,http://datos.imss.gob.mx/node/193/download
2015,may,2015 may,http://datos.imss.gob.mx/node/276/download
2015,june,2015 june,http://datos.imss.gob.mx/node/279/download
2015,july,2015 july,http://datos.imss.gob.mx/node/306/download
2015,august,2015 august,http://datos.imss.gob.mx/node/308/download
2015,september,2015 september,http://datos.imss.gob.mx/node/310/download
2015,october,2015 october,http://datos.imss.gob.mx/node/319/download
2015,november,2015 november,http://datos.imss.gob.mx/node/321/download
2015,december,2015 december,http://datos.imss.gob.mx/node/325/download
2016,january,2016 january,http://datos.imss.gob.mx/node/327/download
2016,february,2016 february,http://datos.imss.gob.mx/node/371/download
2016,march,2016 march,http://datos.imss.gob.mx/node/377/download
2016,april,2016 april,http://datos.imss.gob.mx/node/400/download
2016,may,2016 may,http://datos.imss.gob.mx/node/401/download
2016,june,2016 june,http://datos.imss.gob.mx/node/405/download
2016,july,2016 july,http://datos.imss.gob.mx/node/502/download
2016,august,2016 august,http://datos.imss.gob.mx/node/513/download
2016,september,2016 september,http://datos.imss.gob.mx/node/526/download
2016,october,2016 october,http://datos.imss.gob.mx/node/537/download
2016,november,2016 november,http://datos.imss.gob.mx/node/541/download
2016,december,2016 december,http://datos.imss.gob.mx/node/543/download
2017,january,2017 january,http://datos.imss.gob.mx/node/548/download
2017,february,2017 february,http://datos.imss.gob.mx/node/577/download
2017,march,2017 march,http://datos.imss.gob.mx/node/580/download
2017,april,2017 april,http://datos.imss.gob.mx/node/591/download
2017,may,2017 may,http://datos.imss.gob.mx/node/593/download
2017,june,2017 june,http://datos.imss.gob.mx/node/607/download
2017,july,2017 july,http://datos.imss.gob.mx/node/621/download
2017,august,2017 august,http://datos.imss.gob.mx/node/629/download
2017,september,2017 september,http://datos.imss.gob.mx/node/634/download
2017,october,2017 october,http://datos.imss.gob.mx/node/672/download
2017,november,2017 november,http://datos.imss.gob.mx/node/701/download
2017,december,2017 december,http://datos.imss.gob.mx/node/702/download
2018,january,2018 january,http://datos.imss.gob.mx/node/706/download
2018,february,2018 february,http://datos.imss.gob.mx/node/714/download
2018,march,2018 march,http://datos.imss.gob.mx/node/716/download
